content,tags,question,score
"The ATL C5-2 probe is suitable for the following applications: abdominal, general.","frozenset({'C5-2', 'abdominal, general', 'ATL', 'probes', 'applications'})",Is the ATL C5-2 probe suitable for abdominal applications?,1
"The ATL C5-2 probe is suitable for the following applications: abdominal, general.","frozenset({'C5-2', 'abdominal, general', 'ATL', 'probes', 'applications'})",What types of procedures is the ATL C5-2 transducer commonly used for?,1
The ATL C5-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C5-2', 'stock', 'probes'})",Is the ATL C5-2 probe currently in stock?,1
The ATL C5-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C5-2', 'stock', 'probes'})",Can you purchase the ATL C5-2 probe from your inventory?,1
The ATL C5-2 probe is currently in stock and available for sale.,"frozenset({'ATL', 'C5-2', 'stock', 'probes'})",Do you have any ATL C5-2 probes available for sale?,1
The frequency range of the ATL C5-2 probe is 2.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-2', 'probes'})",What is the frequency range of the ATL C5-2 probe?,1
The frequency range of the ATL C5-2 probe is 2.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-2', 'probes'})",Is the frequency range of the ATL C5-2 probe greater than 5.0 MHz?,0
The frequency range of the ATL C5-2 probe is 2.0 - 5.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-2', 'probes'})",At what frequency does the ATL C5-2 probe begin to transmit?,1
The manufacturer of the C5-IVT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-IVT', 'probes'})",Who is the manufacturer of the C5-IVT probe?,1
The manufacturer of the C5-IVT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-IVT', 'probes'})",Is the C5-IVT probe made by ATL?,1
The manufacturer of the C5-IVT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C5-IVT', 'probes'})",What company makes the C5-IVT transducer?,1
"The ATL C5-IVT probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-IVT', 'ATL', 'probes', 'compatibility', 'UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000'})",What systems is the ATL C5-IVT probe compatible with?,1
"The ATL C5-IVT probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-IVT', 'ATL', 'probes', 'compatibility', 'UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000'})",Does the ATL C5-IVT probe work with the UM9 HDI system?,1
"The ATL C5-IVT probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000.","frozenset({'C5-IVT', 'ATL', 'probes', 'compatibility', 'UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000'})",Is the ATL C5-IVT transducer compatible with the HDI 1500 system?,1
The ATL C5-IVT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-IVT', 'probes'})",What type of array is the ATL C5-IVT?,1
The ATL C5-IVT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-IVT', 'probes'})",Is the ATL C5-IVT a transducer with a convex array?,1
The ATL C5-IVT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C5-IVT', 'probes'})",What kind of probe is the ATL C5-IVT?,1
"The ATL C5-IVT probe is suitable for the following applications: intracavitary, endovaginal, gynecological.","frozenset({'C5-IVT', 'intracavitary, endovaginal, gynecological', 'ATL', 'probes', 'applications'})",What types of probes is the ATL C5-IVT suitable for?,1
"The ATL C5-IVT probe is suitable for the following applications: intracavitary, endovaginal, gynecological.","frozenset({'C5-IVT', 'intracavitary, endovaginal, gynecological', 'ATL', 'probes', 'applications'})",Are there any specific medical applications for which the ATL C5-IVT probe is designed?,1
"The ATL C5-IVT probe is suitable for the following applications: intracavitary, endovaginal, gynecological.","frozenset({'C5-IVT', 'intracavitary, endovaginal, gynecological', 'ATL', 'probes', 'applications'})",Can the ATL C5-IVT probe be used for endovaginal or intracavitary procedures?,1
The ATL C5-IVT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C5-IVT', 'stock', 'probes'})",Is the ATL C5-IVT probe currently in stock?,0
The ATL C5-IVT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C5-IVT', 'stock', 'probes'})",Can you find any application information about the ATL C5-IVT probe?,0
The ATL C5-IVT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C5-IVT', 'stock', 'probes'})",What is the minimum frequency range of the ATL C5-IVT probe?,0
The frequency range of the ATL C5-IVT probe is 4.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-IVT', 'probes'})",What is the frequency range of the ATL C5-IVT probe?,1
The frequency range of the ATL C5-IVT probe is 4.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-IVT', 'probes'})",Are the frequencies used by the ATL C5-IVT transducer within the 4.0 - 6.0 MHz range?,1
The frequency range of the ATL C5-IVT probe is 4.0 - 6.0 MHz.,"frozenset({'ATL', 'frequency', 'C5-IVT', 'probes'})",Can the ATL C5-IVT probe operate at a minimum frequency of 4.0 MHz?,1
The manufacturer of the C7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C7-4', 'probes'})",Who is the manufacturer of the C7-4 probe?,1
The manufacturer of the C7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C7-4', 'probes'})",Is the C7-4 probe made by ATL?,1
The manufacturer of the C7-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C7-4', 'probes'})",What is the manufacturer of the transducer used in the C7-4 probe?,1
"The ATL C7-4 probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 5000.","frozenset({'C7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000', 'ATL', 'probes', 'compatibility'})",What systems are compatible with the ATL C7-4 probe?,1
"The ATL C7-4 probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 5000.","frozenset({'C7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000', 'ATL', 'probes', 'compatibility'})",Is the ATL C7-4 transducer compatible with the UM9 HDI system?,1
"The ATL C7-4 probe is compatible with the following systems: UM9 HDI, HDI 1500, HDI 3000, HDI 5000.","frozenset({'C7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000', 'ATL', 'probes', 'compatibility'})",Can the ATL C7-4 probe be used with the HDI 3000 ultrasound system?,1
The ATL C7-4 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C7-4', 'probes'})",What array type is the ATL C7-4?,1
The ATL C7-4 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C7-4', 'probes'})",Is the ATL C7-4 probe of convex array type?,1
The ATL C7-4 is a convex array type probe.,"frozenset({'ATL', 'array type', 'C7-4', 'probes'})",What kind of transducer is the ATL C7-4?,1
"The ATL C7-4 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'C7-4', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What can the ATL C7-4 probe be used for?,1
"The ATL C7-4 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'C7-4', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",Is the ATL C7-4 probe suitable for cardiac applications?,1
"The ATL C7-4 probe is suitable for the following applications: cardiac, vascular, general.","frozenset({'C7-4', 'cardiac, vascular, general', 'ATL', 'probes', 'applications'})",What types of probes is the ATL C7-4 suitable for?,1
The ATL C7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C7-4', 'stock', 'probes'})",Is the ATL C7-4 probe currently available for sale?,0
The ATL C7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C7-4', 'stock', 'probes'})",Can you use the ATL C7-4 probe for a specific application?,0
The ATL C7-4 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'C7-4', 'stock', 'probes'})",What is the status of the ATL C7-4 probe?,1
The frequency range of the ATL C7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'C7-4', 'probes'})",What is the frequency range of the ATL C7-4 probe?,1
The frequency range of the ATL C7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'C7-4', 'probes'})",Is the frequency range of the ATL C7-4 probe greater than or equal to 5.0 MHz?,1
The frequency range of the ATL C7-4 probe is 4.0 - 7.0 MHz.,"frozenset({'ATL', 'frequency', 'C7-4', 'probes'})",What is the maximum frequency of the ATL C7-4 probe?,1
The manufacturer of the C8-4v probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C8-4v', 'probes'})",Who is the manufacturer of the C8-4v probe?,1
The manufacturer of the C8-4v probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C8-4v', 'probes'})",What type of array is used by the C8-4v probe?,0
The manufacturer of the C8-4v probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C8-4v', 'probes'})",Is the manufacturer of the C8-4v probe ATL?,1
"The ATL C8-4v probe is compatible with the following systems: HDI 3000, HDI 3500, HDI 5000.","frozenset({'HDI 3000, HDI 3500, HDI 5000', 'C8-4v', 'ATL', 'probes', 'compatibility'})",What systems are compatible with the ATL C8-4v probe?,1
"The ATL C8-4v probe is compatible with the following systems: HDI 3000, HDI 3500, HDI 5000.","frozenset({'HDI 3000, HDI 3500, HDI 5000', 'C8-4v', 'ATL', 'probes', 'compatibility'})",Is the ATL C8-4v probe compatible with the HDI 3000 system?,1
"The ATL C8-4v probe is compatible with the following systems: HDI 3000, HDI 3500, HDI 5000.","frozenset({'HDI 3000, HDI 3500, HDI 5000', 'C8-4v', 'ATL', 'probes', 'compatibility'})",Does the ATL C8-4v probe work with the HDI 5000 system?,1
The ATL C8-4v is a convex array type probe.,"frozenset({'ATL', 'array type', 'C8-4v', 'probes'})",What type of array is the ATL C8-4v?,1
The ATL C8-4v is a convex array type probe.,"frozenset({'ATL', 'array type', 'C8-4v', 'probes'})",Is the ATL C8-4v a type of transducer?,1
The ATL C8-4v is a convex array type probe.,"frozenset({'ATL', 'array type', 'C8-4v', 'probes'})",What kind of array is the ATL C8-4v?,1
"The ATL C8-4v probe is suitable for the following applications: endovaginal, gynecological, endocavitary.","frozenset({'C8-4v', 'ATL', 'probes', 'endovaginal, gynecological, endocavitary', 'applications'})",What applications is the ATL C8-4v probe suitable for?,1
"The ATL C8-4v probe is suitable for the following applications: endovaginal, gynecological, endocavitary.","frozenset({'C8-4v', 'ATL', 'probes', 'endovaginal, gynecological, endocavitary', 'applications'})",Can the ATL C8-4v probe be used for endovaginal and gynecological procedures?,1
"The ATL C8-4v probe is suitable for the following applications: endovaginal, gynecological, endocavitary.","frozenset({'C8-4v', 'ATL', 'probes', 'endovaginal, gynecological, endocavitary', 'applications'})",Is the ATL C8-4v probe suitable for use in endocavitary examinations?,1
The ATL C8-4v probe is currently in stock and available for sale.,"frozenset({'ATL', 'C8-4v', 'stock', 'probes'})",Is the ATL C8-4v probe currently in stock?,1
The ATL C8-4v probe is currently in stock and available for sale.,"frozenset({'ATL', 'C8-4v', 'stock', 'probes'})",What types of probes is the ATL C8-4v suitable for?,0
The ATL C8-4v probe is currently in stock and available for sale.,"frozenset({'ATL', 'C8-4v', 'stock', 'probes'})",Is the ATL C8-4v probe available for sale?,1
The frequency range of the ATL C8-4v probe is 4.0 - 8.0 MHz.,"frozenset({'ATL', 'frequency', 'C8-4v', 'probes'})",What is the frequency range of the ATL C8-4v probe?,1
The frequency range of the ATL C8-4v probe is 4.0 - 8.0 MHz.,"frozenset({'ATL', 'frequency', 'C8-4v', 'probes'})",Within what frequency range does the ATL C8-4v transducer operate?,1
The frequency range of the ATL C8-4v probe is 4.0 - 8.0 MHz.,"frozenset({'ATL', 'frequency', 'C8-4v', 'probes'})",Does the ATL C8-4v probe have a frequency range between 4 and 8 MHz?,1
The manufacturer of the C9-5ICT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C9-5ICT', 'probes'})",Who is the manufacturer of the C9-5ICT probe?,1
The manufacturer of the C9-5ICT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C9-5ICT', 'probes'})",Is the manufacturer of the C9-5ICT probe also the maker of the transducer?,1
The manufacturer of the C9-5ICT probe is ATL.,"frozenset({'ATL', 'manufacturer', 'C9-5ICT', 'probes'})",Does ATL make the C9-5ICT probe?,1
"The ATL C9-5ICT probe is compatible with the following systems: HDI 1000, HDI 1500, HDI 4000, HDI 5000.","frozenset({'C9-5ICT', 'ATL', 'probes', 'compatibility', 'HDI 1000, HDI 1500, HDI 4000, HDI 5000'})",What systems are compatible with the ATL C9-5ICT probe?,1
"The ATL C9-5ICT probe is compatible with the following systems: HDI 1000, HDI 1500, HDI 4000, HDI 5000.","frozenset({'C9-5ICT', 'ATL', 'probes', 'compatibility', 'HDI 1000, HDI 1500, HDI 4000, HDI 5000'})",Is the ATL C9-5ICT transducer compatible with the HDI 1000 system?,1
"The ATL C9-5ICT probe is compatible with the following systems: HDI 1000, HDI 1500, HDI 4000, HDI 5000.","frozenset({'C9-5ICT', 'ATL', 'probes', 'compatibility', 'HDI 1000, HDI 1500, HDI 4000, HDI 5000'})",Does the ATL C9-5ICT probe work with the HDI 4000 system?,1
The ATL C9-5ICT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C9-5ICT', 'probes'})",What array type is the ATL C9-5ICT?,1
The ATL C9-5ICT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C9-5ICT', 'probes'})",Is the ATL C9-5ICT probe a convex array probe?,1
The ATL C9-5ICT is a convex array type probe.,"frozenset({'ATL', 'array type', 'C9-5ICT', 'probes'})",What kind of transducer is the ATL C9-5ICT?,1
"The ATL C9-5ICT probe is suitable for the following applications: intracavitary, prenatal, obstetric, gynecological.","frozenset({'C9-5ICT', 'ATL', 'probes', 'applications', 'intracavitary, prenatal, obstetric, gynecological'})",What applications is the ATL C9-5ICT probe suitable for?,1
"The ATL C9-5ICT probe is suitable for the following applications: intracavitary, prenatal, obstetric, gynecological.","frozenset({'C9-5ICT', 'ATL', 'probes', 'applications', 'intracavitary, prenatal, obstetric, gynecological'})",Can the ATL C9-5ICT probe be used for prenatal applications?,1
"The ATL C9-5ICT probe is suitable for the following applications: intracavitary, prenatal, obstetric, gynecological.","frozenset({'C9-5ICT', 'ATL', 'probes', 'applications', 'intracavitary, prenatal, obstetric, gynecological'})",Is the ATL C9-5ICT probe used in obstetric settings?,1
The ATL C9-5ICT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'C9-5ICT', 'probes'})",Is the ATL C9-5ICT probe currently available for sale?,0
The ATL C9-5ICT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'C9-5ICT', 'probes'})",What is the status of the ATL C9-5ICT probe availability?,1
The ATL C9-5ICT probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'stock', 'C9-5ICT', 'probes'})",Are there any ATL C9-5ICT probes in stock?,0
The frequency range of the ATL C9-5ICT probe is 5.0 - 9.0 MHz.,"frozenset({'ATL', 'frequency', 'C9-5ICT', 'probes'})",What is the frequency range of the ATL C9-5ICT probe?,1
The frequency range of the ATL C9-5ICT probe is 5.0 - 9.0 MHz.,"frozenset({'ATL', 'frequency', 'C9-5ICT', 'probes'})",Does the frequency range of the ATL C9-5ICT probe exceed 8.0 MHz?,1
The frequency range of the ATL C9-5ICT probe is 5.0 - 9.0 MHz.,"frozenset({'ATL', 'frequency', 'C9-5ICT', 'probes'})",Is the minimum frequency range of the ATL C9-5ICT transducer above 4.0 MHz?,1
The manufacturer of the CL 10-5 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CL 10-5', 'probes'})",Who is the manufacturer of the CL 10-5 probe?,1
The manufacturer of the CL 10-5 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CL 10-5', 'probes'})",Is the CL 10-5 probe made by ATL?,1
The manufacturer of the CL 10-5 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CL 10-5', 'probes'})",What is the manufacturer of the transducer used in the CL 10-5 probe?,1
"The ATL CL 10-5 probe is compatible with the following systems: HDI 3000, HDI 5000.","frozenset({'ATL', 'probes', 'compatibility', 'HDI 3000, HDI 5000', 'CL 10-5'})",What systems are compatible with the ATL CL 10-5 probe?,1
"The ATL CL 10-5 probe is compatible with the following systems: HDI 3000, HDI 5000.","frozenset({'ATL', 'probes', 'compatibility', 'HDI 3000, HDI 5000', 'CL 10-5'})",Is the ATL CL 10-5 probe compatible with the HDI 3000 system?,1
"The ATL CL 10-5 probe is compatible with the following systems: HDI 3000, HDI 5000.","frozenset({'ATL', 'probes', 'compatibility', 'HDI 3000, HDI 5000', 'CL 10-5'})",Does the ATL CL 10-5 probe work with the HDI 5000 system?,1
The ATL CL 10-5 is a linear array type probe.,"frozenset({'ATL', 'array type', 'CL 10-5', 'probes'})",What type of array is the ATL CL 10-5?,1
The ATL CL 10-5 is a linear array type probe.,"frozenset({'ATL', 'array type', 'CL 10-5', 'probes'})",Is the ATL CL 10-5 a linear array probe?,1
The ATL CL 10-5 is a linear array type probe.,"frozenset({'ATL', 'array type', 'CL 10-5', 'probes'})",What kind of transducer is the ATL CL 10-5?,1
"The ATL CL 10-5 probe is suitable for the following applications: small parts, vascular.","frozenset({'small parts, vascular', 'ATL', 'probes', 'applications', 'CL 10-5'})",What applications is the ATL CL 10-5 probe suitable for?,1
"The ATL CL 10-5 probe is suitable for the following applications: small parts, vascular.","frozenset({'small parts, vascular', 'ATL', 'probes', 'applications', 'CL 10-5'})",Can the ATL CL 10-5 probe be used for small part examinations?,1
"The ATL CL 10-5 probe is suitable for the following applications: small parts, vascular.","frozenset({'small parts, vascular', 'ATL', 'probes', 'applications', 'CL 10-5'})",Is the ATL CL 10-5 probe designed for vascular imaging?,1
The ATL CL 10-5 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'CL 10-5', 'stock', 'probes'})",Is the ATL CL 10-5 probe currently available for sale?,0
The ATL CL 10-5 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'CL 10-5', 'stock', 'probes'})",What is the status of the ATL CL 10-5 probe regarding its availability?,1
The ATL CL 10-5 probe is currently out of stock or not available for sale.,"frozenset({'ATL', 'CL 10-5', 'stock', 'probes'})",Are there any ATL CL 10-5 probes currently in stock?,0
The frequency range of the ATL CL 10-5 probe is 5.0 - 10.0 MHz.,"frozenset({'ATL', 'frequency', 'CL 10-5', 'probes'})",What is the frequency range of the ATL CL 10-5 probe?,1
The frequency range of the ATL CL 10-5 probe is 5.0 - 10.0 MHz.,"frozenset({'ATL', 'frequency', 'CL 10-5', 'probes'})",Is the frequency range of the ATL CL 10-5 probe continuous or discrete?,1
The frequency range of the ATL CL 10-5 probe is 5.0 - 10.0 MHz.,"frozenset({'ATL', 'frequency', 'CL 10-5', 'probes'})",What is the minimum and maximum frequency range of the ATL CL 10-5 probe?,1
The manufacturer of the CT8-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CT8-4', 'probes'})",Who is the manufacturer of the CT8-4 probe?,1
The manufacturer of the CT8-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CT8-4', 'probes'})",Is the manufacturer of the CT8-4 probe also known as ATL?,1
The manufacturer of the CT8-4 probe is ATL.,"frozenset({'ATL', 'manufacturer', 'CT8-4', 'probes'})",Does the manufacturer of the CT8-4 transducer make probes?,1
"The ATL CT8-4 probe is compatible with the following systems: HDI 1000, HDI 3000, HDI 3500, HDI 5000.","frozenset({'ATL', 'probes', 'compatibility', 'HDI 1000, HDI 3000, HDI 3500, HDI 5000', 'CT8-4'})",What systems is the ATL CT8-4 probe compatible with?,1
"The ATL CT8-4 probe is compatible with the following systems: HDI 1000, HDI 3000, HDI 3500, HDI 5000.","frozenset({'ATL', 'probes', 'compatibility', 'HDI 1000, HDI 3000, HDI 3500, HDI 5000', 'CT8-4'})",Does the ATL CT8-4 probe work with the HDI 1000 system?,1
